x,t,u
-1.59375,0.03,3.89E-05
-1.5625,0.03,5.76E-05
-1.53125,0.03,8.48E-05
-1.5,0.03,0.000123892
-1.46875,0.03,0.000179524
-1.4375,0.03,0.000258112
-1.40625,0.03,0.000368213
-1.375,0.03,0.000521187
-1.34375,0.03,0.000731963
-1.3125,0.03,0.001019962
-1.28125,0.03,0.001410184
-1.25,0.03,0.001934468
-1.21875,0.03,0.002632916
-1.1875,0.03,0.003555479
-1.15625,0.03,0.004763645
-1.125,0.03,0.006332204
-1.09375,0.03,0.008350989
-1.0625,0.03,0.010926501
-1.03125,0.03,0.014183271
-1,0.03,0.018264827
-0.96875,0.03,0.02333405
-0.9375,0.03,0.029572766
-0.90625,0.03,0.037180354
-0.875,0.03,0.046371227
-0.84375,0.03,0.057371024
-0.8125,0.03,0.070411469
-0.78125,0.03,0.085723878
-0.75,0.03,0.103531424
-0.71875,0.03,0.124040354
-0.6875,0.03,0.147430437
-0.65625,0.03,0.173845039
-0.625,0.03,0.203381224
-0.59375,0.03,0.236080359
-0.5625,0.03,0.271919636
-0.53125,0.03,0.310804933
-0.5,0.03,0.3525653
-0.46875,0.03,0.396949333
-0.4375,0.03,0.443623556
-0.40625,0.03,0.492172868
-0.375,0.03,0.542103052
-0.34375,0.03,0.592845291
-0.3125,0.03,0.643762625
-0.28125,0.03,0.694158301
-0.25,0.03,0.743285996
-0.21875,0.03,0.790361932
-0.1875,0.03,0.834578956
-0.15625,0.03,0.87512266
-0.125,0.03,0.911189652
-0.09375,0.03,0.942007991
-0.0625,0.03,0.966859722
-0.03125,0.03,0.985105211
0,0.03,0.996205991
0.03125,0.03,0.999604781
0.0625,0.03,0.995534622
0.09375,0.03,0.983402405
0.125,0.03,0.963527499
0.15625,0.03,0.936215625
0.1875,0.03,0.901988139
0.21875,0.03,0.861555975
0.25,0.03,0.815795993
0.28125,0.03,0.765716191
0.3125,0.03,0.71241207
0.34375,0.03,0.657017624
0.375,0.03,0.600655231
0.40625,0.03,0.544388808
0.4375,0.03,0.489184005
0.46875,0.03,0.435878093
0.5,0.03,0.385160823
0.53125,0.03,0.337566154
0.5625,0.03,0.293473684
0.59375,0.03,0.253117903
0.625,0.03,0.216603073
0.65625,0.03,0.183921599
0.6875,0.03,0.154973974
0.71875,0.03,0.129588797
0.75,0.03,0.107541728
0.78125,0.03,0.088572652
0.8125,0.03,0.072400621
0.84375,0.03,0.058736402
0.875,0.03,0.047292631
0.90625,0.03,0.037791703
0.9375,0.03,0.029971599
0.96875,0.03,0.023589891
1,0.03,0.018426197
1.03125,0.03,0.014283348
1.0625,0.03,0.01098752
1.09375,0.03,0.008387562
1.125,0.03,0.006353746
1.15625,0.03,0.004776109
1.1875,0.03,0.003562559
1.21875,0.03,0.00263686
1.25,0.03,0.001936618
1.28125,0.03,0.00141133
1.3125,0.03,0.001020555
1.34375,0.03,0.000732259
1.375,0.03,0.000521328
1.40625,0.03,0.000368275
1.4375,0.03,0.000258136
1.46875,0.03,0.00017953
1.5,0.03,0.00012389
1.53125,0.03,8.48E-05
1.5625,0.03,5.76E-05
1.59375,0.03,3.89E-05
1.625,0.03,2.60E-05
1.65625,0.03,1.72E-05
1.6875,0.03,1.14E-05
1.71875,0.03,7.42E-06
1.75,0.03,4.81E-06
1.78125,0.03,3.09E-06
1.8125,0.03,1.98E-06
1.84375,0.03,1.25E-06
1.875,0.03,7.86E-07
1.90625,0.03,4.90E-07
1.9375,0.03,3.03E-07
1.96875,0.03,1.86E-07
2,0.03,1.26E-07
-2,0.04,1.28E-07
-1.96875,0.04,1.87E-07
-1.9375,0.04,3.04E-07
-1.90625,0.04,4.91E-07
-1.875,0.04,7.88E-07
-1.84375,0.04,1.25E-06
-1.8125,0.04,1.98E-06
-1.78125,0.04,3.10E-06
-1.75,0.04,4.82E-06
-1.71875,0.04,7.43E-06
-1.6875,0.04,1.14E-05
-1.65625,0.04,1.73E-05
-1.625,0.04,2.60E-05
-1.59375,0.04,3.89E-05
-1.5625,0.04,5.77E-05
-1.53125,0.04,8.50E-05
-1.5,0.04,0.000124058
-1.46875,0.04,0.000179754
-1.4375,0.04,0.000258425
-1.40625,0.04,0.000368634
-1.375,0.04,0.000521745
-1.34375,0.04,0.000732692
-1.3125,0.04,0.001020894
-1.28125,0.04,0.001411347
-1.25,0.04,0.001935869
-1.21875,0.04,0.002634526
-1.1875,0.04,0.003557192
-1.15625,0.04,0.004765224
-1.125,0.04,0.006333194
-1.09375,0.04,0.008350582
-1.0625,0.04,0.010923336
-1.03125,0.04,0.01417516
-1,0.04,0.01824836
-0.96875,0.04,0.023304071
-0.9375,0.04,0.029521689
-0.90625,0.04,0.037097305
-0.875,0.04,0.046241003
-0.84375,0.04,0.057172896
-0.8125,0.04,0.070117871
-0.78125,0.04,0.085299079
-0.75,0.04,0.102930302
-0.71875,0.04,0.123207447
-0.6875,0.04,0.146299483
-0.65625,0.04,0.172339212
-0.625,0.04,0.2014143
-0.59375,0.04,0.233558979
-0.5625,0.04,0.268746815
-0.53125,0.04,0.306884822
-0.5,0.04,0.347809163
-0.46875,0.04,0.39128253
-0.4375,0.04,0.436993236
-0.40625,0.04,0.484555956
-0.375,0.04,0.533514033
-0.34375,0.04,0.583343202
-0.3125,0.04,0.633456661
-0.28125,0.04,0.683211406
-0.25,0.04,0.731915828
-0.21875,0.04,0.778838677
-0.1875,0.04,0.823219517
-0.15625,0.04,0.86428095
-0.125,0.04,0.901242873
-0.09375,0.04,0.933339111
-0.0625,0.04,0.959836687
-0.03125,0.04,0.980057898
0,0.04,0.993403691
0.03125,0.04,0.999391925
0.0625,0.04,0.997740536
0.09375,0.04,0.987999724
0.125,0.04,0.970436076
0.15625,0.04,0.945159344
0.1875,0.04,0.9125927
0.21875,0.04,0.873374073
0.25,0.04,0.828341215
0.28125,0.04,0.778500353
0.3125,0.04,0.724981263
0.34375,0.04,0.668982411
0.375,0.04,0.611711519
0.40625,0.04,0.554327715
0.4375,0.04,0.497890994
0.46875,0.04,0.443323279
0.5,0.04,0.39138336
0.53125,0.04,0.342655852
0.5625,0.04,0.297552629
0.59375,0.04,0.256324101
0.625,0.04,0.219077292
0.65625,0.04,0.185797806
0.6875,0.04,0.156373205
0.71875,0.04,0.130615936
0.75,0.04,0.108284534
0.78125,0.04,0.089102355
0.8125,0.04,0.072773491
0.84375,0.04,0.058995812
0.875,0.04,0.047471264
0.90625,0.04,0.037913678
0.9375,0.04,0.030054365
0.96875,0.04,0.023645843
1,0.04,0.018463993
1.03125,0.04,0.014308941
1.0625,0.04,0.011004947
1.09375,0.04,0.008399529
1.125,0.04,0.006362052
1.15625,0.04,0.004781943
1.1875,0.04,0.003566706
1.21875,0.04,0.00263984
1.25,0.04,0.001938779
1.28125,0.04,0.001412905
1.3125,0.04,0.001021709
1.34375,0.04,0.000733105
1.375,0.04,0.000521947
1.40625,0.04,0.000368727
1.4375,0.04,0.000258464
1.46875,0.04,0.000179767
1.5,0.04,0.000124061
1.53125,0.04,8.50E-05
1.5625,0.04,5.77E-05
1.59375,0.04,3.89E-05
1.625,0.04,2.60E-05
1.65625,0.04,1.73E-05
1.6875,0.04,1.14E-05
1.71875,0.04,7.43E-06
1.75,0.04,4.82E-06
1.78125,0.04,3.10E-06
1.8125,0.04,1.98E-06
1.84375,0.04,1.25E-06
1.875,0.04,7.88E-07
1.90625,0.04,4.91E-07
1.9375,0.04,3.04E-07
1.96875,0.04,1.87E-07
2,0.04,1.28E-07
-2,0.05,1.30E-07
-1.96875,0.05,1.87E-07
-1.9375,0.05,3.05E-07
-1.90625,0.05,4.92E-07
-1.875,0.05,7.90E-07
-1.84375,0.05,1.26E-06
-1.8125,0.05,1.98E-06
-1.78125,0.05,3.11E-06
-1.75,0.05,4.83E-06
-1.71875,0.05,7.45E-06
-1.6875,0.05,1.14E-05
-1.65625,0.05,1.73E-05
-1.625,0.05,2.61E-05
-1.59375,0.05,3.90E-05
-1.5625,0.05,5.78E-05
-1.53125,0.05,8.51E-05
-1.5,0.05,0.000124225
-1.46875,0.05,0.000179984
-1.4375,0.05,0.000258738
-1.40625,0.05,0.000369056
-1.375,0.05,0.000522304
-1.34375,0.05,0.000733421
-1.3125,0.05,0.001021826
-1.28125,0.05,0.001412509
-1.25,0.05,0.001937269
-1.21875,0.05,0.002636134
