x,t,u
1.21875,0.03,0.036844299
1.25,0.03,0.027343117
1.28125,0.03,0.020135622
1.3125,0.03,0.014713683
1.34375,0.03,0.010668837
1.375,0.03,0.007676302
1.40625,0.03,0.005480578
1.4375,0.03,0.003882755
1.46875,0.03,0.002729562
1.5,0.03,0.00190408
1.53125,0.03,0.001318005
1.5625,0.03,0.00090529
1.59375,0.03,0.000617019
1.625,0.03,0.0004173
1.65625,0.03,0.000280051
1.6875,0.03,0.000186494
1.71875,0.03,0.000123235
1.75,0.03,8.08E-05
1.78125,0.03,5.26E-05
1.8125,0.03,3.39E-05
1.84375,0.03,2.17E-05
1.875,0.03,1.38E-05
1.90625,0.03,8.72E-06
1.9375,0.03,5.46E-06
1.96875,0.03,3.39E-06
2,0.03,2.09E-06
2.03125,0.03,1.28E-06
2.0625,0.03,7.76E-07
2.09375,0.03,4.67E-07
2.125,0.03,2.79E-07
2.15625,0.03,1.66E-07
2.1875,0.03,9.74E-08
2.21875,0.03,5.69E-08
2.25,0.03,3.29E-08
2.28125,0.03,1.89E-08
2.3125,0.03,1.08E-08
2.34375,0.03,6.11E-09
2.375,0.03,3.43E-09
2.40625,0.03,1.91E-09
2.4375,0.03,1.06E-09
2.46875,0.03,5.81E-10
2.5,0.03,3.16E-10
2.53125,0.03,1.71E-10
2.5625,0.03,9.17E-11
2.59375,0.03,4.88E-11
2.625,0.03,2.58E-11
2.65625,0.03,1.35E-11
2.6875,0.03,7.01E-12
2.71875,0.03,3.62E-12
2.75,0.03,1.85E-12
2.78125,0.03,9.41E-13
2.8125,0.03,4.74E-13
2.84375,0.03,2.37E-13
2.875,0.03,1.18E-13
2.90625,0.03,5.80E-14
2.9375,0.03,2.83E-14
2.96875,0.03,1.37E-14
3,0.03,6.61E-15
3.03125,0.03,3.15E-15
3.0625,0.03,1.49E-15
3.09375,0.03,7.03E-16
3.125,0.03,3.28E-16
3.15625,0.03,1.52E-16
3.1875,0.03,6.97E-17
3.21875,0.03,3.18E-17
3.25,0.03,1.44E-17
3.28125,0.03,6.45E-18
3.3125,0.03,2.87E-18
3.34375,0.03,1.27E-18
3.375,0.03,5.56E-19
3.40625,0.03,2.42E-19
3.4375,0.03,1.04E-19
3.46875,0.03,4.44E-20
3.5,0.03,2.05E-20
3.53125,0.03,9.36E-21
3.5625,0.03,4.08E-21
3.59375,0.03,1.72E-21
3.625,0.03,7.13E-22
3.65625,0.03,2.92E-22
